what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447416845400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447416852479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447416853751
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447416858686
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447416878719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447416882968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447416883994
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447416885899
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447416899258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1447416901124
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447416906981
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447416936615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1447417459799
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447417477467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447417478332
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447417482791
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447417493768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447417514960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447417515866
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447417517551
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447417528147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447417530522
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447417531286
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447417537765
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447417588179
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447417602963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447417605153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447417605947
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447417607258
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447417611094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447417613255
