what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1447336361185
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1447336361211
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1447336361218
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1447336361240
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1447336361312
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1447336361345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447336361502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447336362798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1447336407072
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1447336417405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447336419058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447336424379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447336427484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447336428728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447336432038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447336432154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1447336746212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1447337345950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1447337381751
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1447337407759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1447337477047
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447337519782
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447337519813
