what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1448010926378
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448010935771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448010945262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448010946210
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1448010949255
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448010958048
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448010991849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448010994507
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1448011011329
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448011016401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011019560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011020461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011053094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011054339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011070074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011071260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011124795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011213228
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448011410845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011466473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011467392
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448011477846
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448011494900
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448011501056
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448011504649
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448011536267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448011557991
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012088920
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012089085
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012089937
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012125379
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012125411
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012125413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012127306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012130368
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012130451
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012130451
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012132221
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012132222
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012133563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012133587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012134678
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012134732
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012134732
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012136129
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012139589
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012139589
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012141436
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012141460
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012141460
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1448012199226
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1448012199303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012204012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012706028
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012706061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012711017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012911694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012941773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012953907
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1448012953926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012956787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448012974704
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012974775
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448012974810
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1448013045867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013046994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013047138
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013047208
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1448013048842
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1448013049119
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1448013049154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013049278
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013173264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013197047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013448639
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013460504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013469609
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013575582
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013576252
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1448013581765
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013581970
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013582012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013596511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013599817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013600627
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1448013605097
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013635705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013708173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013708337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013708521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013708689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013708849
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013709017
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013709185
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013709366
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013709521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013709704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013709872
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013710040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013710200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013710359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448013710616
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013723599
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013724715
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1448013728659
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013728844
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013728877
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013799076
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013799998
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013803900
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013804641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013812149
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448013848457
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013959349
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1448013970103
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013970292
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448013970334
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1448014012092
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014012596
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014012628
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1448014012696
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014020857
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014041963
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014044308
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014049158
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014050863
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014063242
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014063781
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014064240
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014085879
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014088284
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014091311
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014092315
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014158709
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014171635
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1448014235377
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014235546
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014235580
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014243422
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1448014268868
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014269199
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014269239
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014282796
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014316055
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014358847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448014605363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448014613409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448014720634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448015112149
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1448015112182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448015114258
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448015119662
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448015119741
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448015119775
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448015660404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448015832190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448015850275
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1448015850900
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1448015851524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448015899415
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448016026147
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448016026254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448016102326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448017180431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448017229771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448017455085
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448017455166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448017460275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448017678051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448017678737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448017742780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448017944388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448017993321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448017993868
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448018152197
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448018153755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448018158611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448018184221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448018213149
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448018377237
