what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460110599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460130333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460136730
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460136761
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460140455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460147078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460156758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448460250977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1448460302859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460411681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460422057
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460454952
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460456333
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460521236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460529470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460536680
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460536803
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460537477
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460538474
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460547143
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460570088
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460572323
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460573157
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1448460573645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460578572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460625291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1448460647596
